,Дата,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней,fact
33,2026-05-30,8.0,8.0,8.0,10.0,9.0,10.0,7.0,6.0,4.0,6.0,11
34,2026-05-31,5.0,5.0,6.0,6.0,7.0,5.0,11.0,7.0,8.0,2.0,7
35,2026-06-01,6.0,5.0,4.0,5.0,6.0,9.0,6.0,9.0,8.0,6.0,9
36,2026-06-02,6.0,6.0,6.0,7.0,8.0,7.0,11.0,9.0,8.0,9.0,11
37,2026-06-03,9.0,9.0,8.0,8.0,7.0,9.0,8.0,11.0,8.0,10.0,15
38,2026-06-04,8.0,8.0,7.0,9.0,7.0,5.0,7.0,6.0,10.0,9.0,12
39,2026-06-05,8.0,7.0,8.0,7.0,9.0,7.0,6.0,8.0,6.0,9.0,12
40,2026-06-06,7.0,7.0,7.0,7.0,7.0,9.0,7.0,10.0,10.0,7.0,11
41,2026-06-07,8.0,7.0,8.0,8.0,8.0,7.0,9.0,6.0,13.0,12.0,8
42,2026-06-08,7.0,7.0,6.0,7.0,7.0,8.0,7.0,8.0,6.0,12.0,6
43,2026-06-09,6.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8
44,2026-06-10,4.0,5.0,6.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,4
45,2026-06-11,5.0,4.0,7.0,8.0,9.0,6.0,8.0,9.0,11.0,10.0,8
46,2026-06-12,7.0,6.0,8.0,8.0,8.0,10.0,5.0,9.0,8.0,13.0,9
47,2026-06-13,6.0,6.0,8.0,9.0,8.0,9.0,9.0,4.0,7.0,7.0,7
48,2026-06-14,6.0,6.0,6.0,8.0,9.0,10.0,10.0,9.0,6.0,8.0,6
49,2026-06-15,8.0,8.0,7.0,8.0,7.0,6.0,6.0,6.0,8.0,7.0,9
50,2026-06-16,8.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,7.0,9.0,8
51,2026-06-17,9.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,6.0,7.0,11
52,2026-06-18,9.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,6.0,9
53,2026-06-19,9.0,8.0,9.0,8.0,7.0,8.0,7.0,8.0,6.0,10.0,8
54,2026-06-20,10.0,10.0,10.0,10.0,12.0,9.0,9.0,9.0,7.0,7.0,13
55,2026-06-21,16.0,16.0,15.0,12.0,10.0,12.0,10.0,8.0,10.0,11.0,22
56,2026-06-22,12.0,12.0,12.0,12.0,11.0,11.0,10.0,12.0,9.0,11.0,17
57,2026-06-23,10.0,10.0,10.0,10.0,11.0,9.0,12.0,13.0,12.0,8.0,14
58,2026-06-24,8.0,8.0,8.0,8.0,10.0,10.0,8.0,12.0,13.0,9.0,11
59,2026-06-25,12.0,10.0,9.0,10.0,9.0,10.0,12.0,7.0,11.0,12.0,16
60,2026-06-26,12.0,12.0,11.0,9.0,11.0,11.0,9.0,13.0,8.0,12.0,15
61,2026-06-27,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,7.0,13
62,2026-06-28,14.0,13.0,12.0,11.0,10.0,10.0,12.0,12.0,11.0,12.0,14
63,2026-06-29,14.0,15.0,15.0,12.0,12.0,13.0,9.0,12.0,11.0,12.0,18
