,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней
2026-04-27,-2.0,,,,,,,,,
2026-04-28,-1.0,-1.0,,,,,,,,
2026-04-29,0.0,1.0,1.0,,,,,,,
2026-04-30,1.0,1.0,1.0,1.0,,,,,,
2026-05-01,0.0,0.0,-1.0,0.0,0.0,,,,,
2026-05-02,1.0,1.0,0.0,0.0,0.0,0.0,,,,
2026-05-03,3.0,3.0,4.0,3.0,4.0,3.0,4.0,,,
2026-05-04,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,,
2026-05-05,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,0.0,
2026-05-06,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0
2026-05-07,3.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,6.0,3.0
2026-05-08,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,5.0
2026-05-09,2.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,6.0
2026-05-10,1.0,1.0,2.0,3.0,4.0,5.0,3.0,2.0,4.0,5.0
2026-05-11,2.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,1.0,5.0
2026-05-12,4.0,5.0,5.0,4.0,3.0,6.0,6.0,3.0,3.0,1.0
2026-05-13,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,4.0
2026-05-14,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0
2026-05-15,0.0,1.0,1.0,2.0,1.0,6.0,1.0,3.0,4.0,5.0
2026-05-16,4.0,3.0,4.0,5.0,3.0,4.0,6.0,5.0,7.0,6.0
2026-05-17,5.0,5.0,5.0,6.0,5.0,7.0,5.0,7.0,4.0,4.0
2026-05-18,4.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,8.0,4.0
2026-05-19,7.0,7.0,6.0,7.0,7.0,8.0,5.0,5.0,6.0,6.0
2026-05-20,7.0,7.0,7.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0
2026-05-21,7.0,7.0,7.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0
2026-05-22,10.0,10.0,9.0,6.0,5.0,4.0,7.0,6.0,5.0,5.0
2026-05-23,8.0,8.0,8.0,7.0,7.0,10.0,9.0,7.0,6.0,5.0
2026-05-24,7.0,8.0,8.0,9.0,7.0,7.0,9.0,9.0,7.0,7.0
2026-05-25,7.0,9.0,9.0,8.0,8.0,7.0,10.0,8.0,9.0,8.0
2026-05-26,5.0,6.0,6.0,7.0,7.0,6.0,8.0,9.0,8.0,8.0
2026-05-27,5.0,3.0,4.0,4.0,6.0,5.0,9.0,8.0,9.0,8.0
2026-05-28,4.0,8.0,5.0,7.0,6.0,5.0,9.0,9.0,9.0,10.0
2026-05-29,6.0,6.0,8.0,5.0,8.0,10.0,9.0,10.0,10.0,10.0
2026-05-30,7.0,7.0,7.0,9.0,5.0,11.0,9.0,9.0,11.0,10.0
2026-05-31,6.0,5.0,5.0,6.0,6.0,6.0,9.0,9.0,10.0,11.0
2026-06-01,7.0,6.0,7.0,6.0,6.0,8.0,6.0,10.0,10.0,10.0
2026-06-02,8.0,8.0,7.0,8.0,9.0,7.0,9.0,7.0,10.0,10.0
2026-06-03,11.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0
2026-06-04,9.0,9.0,8.0,8.0,8.0,7.0,11.0,9.0,9.0,8.0
2026-06-05,8.0,7.0,8.0,7.0,7.0,7.0,12.0,12.0,9.0,9.0
2026-06-06,8.0,8.0,7.0,8.0,9.0,9.0,10.0,12.0,12.0,10.0
2026-06-07,6.0,6.0,7.0,7.0,9.0,10.0,10.0,10.0,12.0,12.0
2026-06-08,5.0,6.0,6.0,5.0,6.0,6.0,10.0,9.0,10.0,12.0
2026-06-09,5.0,6.0,7.0,6.0,6.0,6.0,8.0,10.0,9.0,10.0
2026-06-10,4.0,4.0,4.0,6.0,7.0,7.0,9.0,10.0,11.0,11.0
2026-06-11,5.0,6.0,4.0,6.0,7.0,5.0,8.0,9.0,10.0,11.0
2026-06-12,7.0,7.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,10.0
2026-06-13,7.0,7.0,7.0,8.0,6.0,8.0,8.0,7.0,8.0,9.0
2026-06-14,5.0,5.0,6.0,5.0,8.0,6.0,8.0,8.0,8.0,8.0
