,За 0 дней,За 1 дней,За 2 дней,За 3 дней,За 4 дней,За 5 дней,За 6 дней,За 7 дней,За 8 дней,За 9 дней
2026-04-27,0.0,,,,,,,,,
2026-04-28,-1.0,0.0,,,,,,,,
2026-04-29,0.0,0.0,0.0,,,,,,,
2026-04-30,1.0,1.0,1.0,0.0,,,,,,
2026-05-01,0.0,0.0,0.0,0.0,2.0,,,,,
2026-05-02,0.0,0.0,-1.0,-1.0,3.0,3.0,,,,
2026-05-03,1.0,1.0,1.0,0.0,3.0,3.0,3.0,,,
2026-05-04,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,,
2026-05-05,1.0,1.0,0.0,0.0,6.0,4.0,3.0,4.0,4.0,
2026-05-06,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
2026-05-07,1.0,1.0,1.0,0.0,4.0,4.0,5.0,4.0,5.0,5.0
2026-05-08,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0
2026-05-09,0.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,4.0,5.0
2026-05-10,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,4.0,5.0
2026-05-11,0.0,0.0,2.0,-1.0,1.0,2.0,2.0,5.0,5.0,5.0
2026-05-12,3.0,3.0,2.0,4.0,4.0,5.0,2.0,5.0,6.0,5.0
2026-05-13,4.0,4.0,3.0,1.0,3.0,4.0,5.0,6.0,7.0,7.0
2026-05-14,0.0,2.0,3.0,1.0,4.0,2.0,2.0,5.0,5.0,7.0
2026-05-15,-1.0,-1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0
2026-05-16,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0
2026-05-17,3.0,2.0,3.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0
2026-05-18,2.0,2.0,4.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0
2026-05-19,5.0,5.0,4.0,4.0,7.0,9.0,6.0,6.0,6.0,6.0
2026-05-20,7.0,8.0,7.0,4.0,8.0,8.0,8.0,6.0,6.0,7.0
2026-05-21,7.0,7.0,7.0,4.0,8.0,7.0,8.0,8.0,7.0,7.0
2026-05-22,9.0,9.0,7.0,5.0,9.0,8.0,6.0,8.0,8.0,7.0
2026-05-23,6.0,5.0,6.0,4.0,10.0,10.0,9.0,7.0,8.0,8.0
2026-05-24,7.0,8.0,7.0,5.0,10.0,11.0,10.0,8.0,7.0,8.0
2026-05-25,5.0,5.0,6.0,4.0,8.0,9.0,8.0,9.0,7.0,7.0
